iter	Logloss
0	0.6829019867
1	0.6749821203
2	0.6682575258
3	0.6627768869
4	0.658368635
5	0.6545637667
6	0.6514247903
7	0.6487737963
8	0.6466208687
9	0.644778918
10	0.6432369072
11	0.6418061141
12	0.6405789028
13	0.6396574197
14	0.6388596435
15	0.6380969552
16	0.6373370034
17	0.6366399208
18	0.6361013099
19	0.6356350769
20	0.6352038914
21	0.6347169416
22	0.6343034612
23	0.6338906356
24	0.6334961601
25	0.6331628203
26	0.6328082879
27	0.6325776861
28	0.6322895762
29	0.6320262725
30	0.6318397067
31	0.6316123948
32	0.6314055379
33	0.6311997676
34	0.6310447992
35	0.6309192664
36	0.6307811691
37	0.6306128297
38	0.6304727609
39	0.6303526506
40	0.6302070906
41	0.6300954281
42	0.6299530926
43	0.6298643957
44	0.6297241728
45	0.6296202177
46	0.6294087855
47	0.6293151609
48	0.6292232652
49	0.6291402992
50	0.6290408476
51	0.6289396564
52	0.6288591201
53	0.6287829134
54	0.62870924
55	0.6286432945
56	0.6285581205
57	0.6284046186
58	0.6283187325
59	0.6282497507
60	0.6281803017
61	0.6281131354
62	0.6280510621
63	0.6279170384
64	0.6278294561
65	0.6277166459
66	0.6276629241
67	0.6275597003
68	0.6275138855
69	0.6270650398
70	0.6270154068
71	0.6268222749
72	0.6266143795
73	0.6265544108
74	0.6265000625
75	0.6262208422
76	0.626186674
77	0.625966395
78	0.6257948832
79	0.625440571
80	0.6252248315
81	0.6250473783
82	0.6248976411
83	0.6247766615
84	0.6245364913
85	0.6244666953
86	0.6244306771
87	0.6243856292
88	0.6243347818
89	0.6242986178
90	0.624254719
91	0.6239249764
92	0.6238356162
93	0.6236921362
94	0.6234459113
95	0.6234125713
96	0.6233620777
97	0.6233200164
98	0.6232813656
99	0.6232418809
100	0.6230163571
101	0.622841858
102	0.6228094133
103	0.6227659062
104	0.6226288257
105	0.6225660312
106	0.622518881
107	0.6224964835
108	0.6223409739
109	0.6223120212
110	0.6221938938
111	0.6221718427
112	0.6220505692
113	0.6219300308
114	0.6218874112
115	0.6218508453
116	0.6217777516
117	0.621744152
118	0.6217052889
119	0.6216772108
120	0.6216414954
121	0.6215029967
122	0.6213862881
123	0.621350645
124	0.6212642081
125	0.621229703
126	0.6211034304
127	0.6210591852
128	0.6210129641
129	0.6209235863
130	0.620875336
131	0.6208461758
132	0.6208146113
133	0.6206980436
134	0.62061204
135	0.6205435472
136	0.6205182868
137	0.6203396528
138	0.6202796464
139	0.6200699993
140	0.6199020586
141	0.6198374044
142	0.6198012556
143	0.6197696058
144	0.6197430467
145	0.6197158417
146	0.6196109304
147	0.6194345781
148	0.619404034
149	0.6193679696
150	0.6192489939
151	0.6192125845
152	0.6190590695
153	0.6189101715
154	0.618834711
155	0.618681438
156	0.618652472
157	0.6185786794
158	0.6184886298
159	0.6182675429
160	0.6182103928
161	0.6181417922
162	0.6180984088
163	0.6179815839
164	0.6178719644
165	0.6177768011
166	0.6177427268
167	0.6176971692
168	0.6176102948
169	0.6174484399
170	0.6174191144
171	0.6173015479
172	0.6171596944
173	0.616979953
174	0.6167930704
175	0.6166973579
176	0.6166640768
177	0.6165442261
178	0.6164647437
179	0.6163981118
180	0.6162544453
181	0.6161242967
182	0.6160873748
183	0.6159831778
184	0.6159478182
185	0.6158441371
186	0.6158135245
187	0.6157215427
188	0.6156390402
189	0.6156026686
190	0.6154943081
191	0.6153946241
192	0.6153139432
193	0.6151352412
194	0.6150475364
195	0.6150185783
196	0.6149854597
197	0.6149192521
198	0.6148409769
199	0.614711685
